"Description","Asset Title","Customer","Type","RTU","RTU Channel","Product","Data Timestamp","Template"
"Level","LITTLE'S O'S Central 1150lbs Canola Oil Tank","LITTLE'S O'S Central","Level","E6001BC1","1","Canola Oil","5/6/2026 4:00:00 AM","ICON PVC 5v - SENS-3660-05 (197)"
"Battery","Living Room Canola Oil","Living Room","BatteryVoltage","E60035A0","BATT_VOLTAGE","","5/6/2026 4:00:00 AM","400 Series Battery Voltage"
"Level","Living Room Canola Oil","Living Room","Level","E60035A0","1","Canola Oil","5/6/2026 4:00:00 AM","ICON PVC 5v - SENS-3660-05 (197)"
"Level Rate of Change","Living Room Canola Oil","Living Room","Rate Of Change","","","","5/6/2026 4:00:00 AM","Default Rate of Change"
"Signal Strength","Living Room Canola Oil","Living Room","Signal Strength","","","","","400 Series Signal Strength"
"Battery","loco patron 700LBS fryers choice   scottsdale","loco patron","BatteryVoltage","126029503","BATT_VOLTAGE","","5/6/2026 9:00:28 AM","UTM Battery Voltage"
"Level","loco patron 700LBS fryers choice   scottsdale","loco patron","Level","126029503","A","Canola Oil","5/6/2026 9:00:28 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Long Wong's  75ave/lower buckeye 1150 lb  canola fry HDP","Long Wong's  75ave/lower buckeye","BatteryVoltage","124668179","BATT_VOLTAGE","","5/6/2026 4:00:35 AM","UTM Battery Voltage"
"Level","Long Wong's  75ave/lower buckeye 1150 lb  canola fry HDP","Long Wong's  75ave/lower buckeye","Level","124668179","A","Canola Oil","5/6/2026 4:00:35 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Long Wongs 35th ave 1150 lb tank  canola oil","Long Wongs 35th ave","BatteryVoltage","E30029E3","BATT_VOLTAGE","","5/6/2026 4:00:00 AM","400 Series Battery Voltage"
"Daily Average Usage","Long Wongs 35th ave 1150 lb tank  canola oil","Long Wongs 35th ave","Rate Of Change","","","","5/5/2026 11:00:00 PM","Default Rate of Change"
"Level","Long Wongs 35th ave 1150 lb tank  canola oil","Long Wongs 35th ave","Level","E30029E3","1","Canola Oil","5/6/2026 4:00:00 AM","ICON SS 5v SENS-3610-05 (0-197)"
"Battery","Mama Lolas Tortillas 2 tanks 5000 lb each/ total both tanks 10,000 lbs","Mama Lolas Tortillas","BatteryVoltage","E600220F","BATT_VOLTAGE","","5/6/2026 4:00:00 AM","400 Series Battery Voltage"
"Daily Average Usage","Mama Lolas Tortillas 2 tanks 5000 lb each/ total both tanks 10,000 lbs","Mama Lolas Tortillas","Rate Of Change","","","","5/5/2026 11:00:00 PM","Default Rate of Change"
"Level","Mama Lolas Tortillas 2 tanks 5000 lb each/ total both tanks 10,000 lbs","Mama Lolas Tortillas","Level","E600220F","1","Soybean Oil","5/6/2026 4:00:00 AM","ICON SS 5v SENS-3610-10 (0-394)"
"Signal Strength","Mama Lolas Tortillas 2 tanks 5000 lb each/ total both tanks 10,000 lbs","Mama Lolas Tortillas","Signal Strength","E600220F","SIGNAL_STRENGTH","","5/6/2026 4:00:00 AM","400 Series Signal Strength"
"Battery","MANUALS SHEA BLVD / PHX 1150LBS Canola Oil Tank","MANUALS SHEA BLVD / PHX","BatteryVoltage","E60034DD","BATT_VOLTAGE","","5/6/2026 4:00:00 AM","400 Series Battery Voltage"
"Level","MANUALS SHEA BLVD / PHX 1150LBS Canola Oil Tank","MANUALS SHEA BLVD / PHX","Level","E60034DD","1","Canola Oil","5/6/2026 4:00:00 AM","ICON SS 5v SENS-3610-05 (0-197)"
"Battery","Manuel's / peoria 1000Lbs Canola Oil Tank","Manuel's / peoria","BatteryVoltage","124734805","BATT_VOLTAGE","","5/6/2026 3:00:31 AM","UTM Battery Voltage"
"Level","Manuel's / peoria 1000Lbs Canola Oil Tank","Manuel's / peoria","Level","124734805","A","Canola Oil","5/6/2026 3:00:31 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Manuel's Bell 1150LB canola fry","Manuel's Bell","BatteryVoltage","E30029D8","BATT_VOLTAGE","","5/6/2026 9:49:00 AM","400 Series Battery Voltage"
"Daily Average Usage","Manuel's Bell 1150LB canola fry","Manuel's Bell","Rate Of Change","","","","5/5/2026 11:00:00 PM","Default Rate of Change"
"Level","Manuel's Bell 1150LB canola fry","Manuel's Bell","Level","E30029D8","1","Canola Oil","5/6/2026 9:49:00 AM","ICON SS 5v SENS-3610-05 (0-197)"
"Battery","MANUEL'S CHANDLER 1000 lbs Canola Oil Tank","MANUEL'S CHANDLER","BatteryVoltage","126031032","BATT_VOLTAGE","","5/6/2026 9:00:25 AM","UTM Battery Voltage"
"Level","MANUEL'S CHANDLER 1000 lbs Canola Oil Tank","MANUEL'S CHANDLER","Level","126031032","A","Canola Oil","5/6/2026 9:00:25 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Morongo Bowling Alley 1150 lb Fryers V Tank","Morongo Bowling Alley","BatteryVoltage","124677324","BATT_VOLTAGE","","5/6/2026 4:00:28 AM","UTM Battery Voltage"
"Level","Morongo Bowling Alley 1150 lb Fryers V Tank","Morongo Bowling Alley","Level","124677324","A","Fryers Choice","5/6/2026 4:00:28 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Morongo Casino Used Oil","Morongo Casino","BatteryVoltage","E100D5B2","BATT_VOLTAGE","","5/6/2026 3:00:00 AM","400 Series Battery Voltage"
"Battery","Morongo Casino Fryers Choice 17,500 lbs","Morongo Casino","BatteryVoltage","E100D5B2","BATT_VOLTAGE","","5/6/2026 3:00:00 AM","400 Series Battery Voltage"
"Level","Morongo Casino Fryers Choice 17,500 lbs","Morongo Casino","Level","E100D5B2","1","Fryers Choice","5/6/2026 3:00:00 AM","ICON PVC 4-20mA - SENS-3665-10 (394)"
"Level","Morongo Casino Used Oil","Morongo Casino","Level","E100D5B2","2","","5/6/2026 3:00:00 AM","ICON PVC 4-20mA - SENS-3665-10 (394)"
"Signal Strength","Morongo Casino Used Oil","Morongo Casino","Signal Strength","E100D5B2","SIGNAL_STRENGTH","","5/6/2026 3:00:00 AM","400 Series Signal Strength"
"Signal Strength","Morongo Casino Fryers Choice 17,500 lbs","Morongo Casino","Signal Strength","E100D5B2","SIGNAL_STRENGTH","","5/6/2026 3:00:00 AM","400 Series Signal Strength"
"Battery","Morongo Pit-Stop Restaurant 2300LBS Tank","Morongo Pit-Stop Restaurant","BatteryVoltage","E6003516","BATT_VOLTAGE","","5/6/2026 3:00:00 AM","400 Series Battery Voltage"
"Level","Morongo Pit-Stop Restaurant 2300LBS Tank","Morongo Pit-Stop Restaurant","Level","E6003516","1","Canola Oil","5/6/2026 3:00:00 AM","ICON PVC 5v - SENS-3660-10 (394)"
"Battery","MVP Sports Bar and Grille 700LB Canola Oil Tank","MVP Sports Bar and Grille","BatteryVoltage","126034613","BATT_VOLTAGE","","5/5/2026 9:00:26 PM","UTM Battery Voltage"
"Level","MVP Sports Bar and Grille 700LB Canola Oil Tank","MVP Sports Bar and Grille","Level","126034613","A","Canola Oil","5/5/2026 9:00:26 PM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","New Penny Cafe   Avondale, AZ 1250LBS Canola Oil","New Penny Cafe   Avondale, AZ","BatteryVoltage","124922356","BATT_VOLTAGE","","5/6/2026 2:00:29 AM","UTM Battery Voltage"
"Level","New Penny Cafe   Avondale, AZ 1250LBS Canola Oil","New Penny Cafe   Avondale, AZ","Level","124922356","A","Canola Oil","5/6/2026 2:00:29 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Northern Edge casino 5000Lbs Canola oil Tank","Northern Edge casino","BatteryVoltage","E6002E42","BATT_VOLTAGE","","5/6/2026 4:01:00 AM","400 Series Battery Voltage"
"Level","Northern Edge casino 5000Lbs Canola oil Tank","Northern Edge casino","Level","E6002E42","1","Canola Oil","5/6/2026 4:01:00 AM","ICON PVC 5v - SENS-3660-10 (394)"
"Battery","Nourish Kitchen 2000LBS Canola SALAD","Nourish Kitchen","BatteryVoltage","E60034DF","BATT_VOLTAGE","","5/6/2026 4:00:00 AM","400 Series Battery Voltage"
"Daily Average Usage","Nourish Kitchen 2000LBS Canola SALAD","Nourish Kitchen","Rate Of Change","","","","5/5/2026 11:00:00 PM","Default Rate of Change"
"Level","Nourish Kitchen 2000LBS Canola SALAD","Nourish Kitchen","Level","E60034DF","1","Canola Oil","5/6/2026 4:00:00 AM","ICON SS 5v SENS-3610-05 (0-197)"
"Signal Strength","Nourish Kitchen 2000LBS Canola SALAD","Nourish Kitchen","Signal Strength","","","","","400 Series Signal Strength"
"Battery","OHSO gilbert 2000lbs Canola Oil Tank","OHSO gilbert","BatteryVoltage","E6002E41","BATT_VOLTAGE","","5/6/2026 4:00:00 AM","400 Series Battery Voltage"
"Level","OHSO gilbert 2000lbs Canola Oil Tank","OHSO gilbert","Level","E6002E41","1","Canola Oil","5/6/2026 4:00:00 AM","ICON PVC 5v - SENS-3660-10 (394)"
"Battery","OHSO INDIAN SCHOOL 1150 lb tank canola oil","OHSO INDIAN SCHOOL","BatteryVoltage","E60035A4","BATT_VOLTAGE","","5/6/2026 3:01:00 AM","400 Series Battery Voltage"
"Level","OHSO INDIAN SCHOOL 1150 lb tank canola oil","OHSO INDIAN SCHOOL","Level","E60035A4","1","Canola Oil","5/6/2026 3:01:00 AM","ICON SS 5v SENS-3610-10 (0-394)"
"Level Rate of Change","OHSO INDIAN SCHOOL 1150 lb tank canola oil","OHSO INDIAN SCHOOL","Rate Of Change","","","","5/6/2026 3:01:00 AM","Default Rate of Change"
"Temperature","OHSO INDIAN SCHOOL 1150 lb tank canola oil","OHSO INDIAN SCHOOL","RtuCaseTemperature","E60035A4","TEMPERATURE","","5/6/2026 3:01:00 AM","Default RTU Case Temperature"
"Battery","OHSO scottsdale 1150Lbs Canola Oil V Tank ","OHSO scottsdale","BatteryVoltage","E60034E0","BATT_VOLTAGE","","5/6/2026 4:00:00 AM","400 Series Battery Voltage"
"Level","OHSO scottsdale 1150Lbs Canola Oil V Tank ","OHSO scottsdale","Level","E60034E0","1","Canola Oil","5/6/2026 4:00:00 AM","ICON PVC 5v - SENS-3660-10 (394)"
"Battery","OHSO Tatum 1150LBS Canola Oil Tank","OHSO Tatum","BatteryVoltage","E60035A2","BATT_VOLTAGE","","5/6/2026 4:00:00 AM","400 Series Battery Voltage"
"Level","OHSO Tatum 1150LBS Canola Oil Tank","OHSO Tatum","Level","E60035A2","1","Canola Oil","5/6/2026 4:00:00 AM","ICON SS 5v SENS-3610-05 (0-197)"
"Signal Strength","OHSO Tatum 1150LBS Canola Oil Tank","OHSO Tatum","Signal Strength","","","","","400 Series Signal Strength"
"Battery","OREGANOS BELL ROAD 1150LBS Canola Oil Tank","OREGANOS BELL ROAD","BatteryVoltage","E6001BD1","BATT_VOLTAGE","","5/6/2026 3:00:00 AM","400 Series Battery Voltage"
"Level","OREGANOS BELL ROAD 1150LBS Canola Oil Tank","OREGANOS BELL ROAD","Level","E6001BD1","1","Canola Oil","5/6/2026 3:00:00 AM","ICON SS 5v SENS-3610-05 (0-197)"
"Battery","Oreganos Camelback 500lbs Canola Oil Tank","Oreganos Camelback","BatteryVoltage","124921588","BATT_VOLTAGE","","5/6/2026 4:00:27 AM","UTM Battery Voltage"
"Level","Oreganos Camelback 500lbs Canola Oil Tank","Oreganos Camelback","Level","124921588","A","Canola Oil","5/6/2026 4:00:27 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Oreganos Chandler 675lbs Oreganos Canola Oil Tank","Oreganos Chandler","BatteryVoltage","126037638","BATT_VOLTAGE","","5/6/2026 9:00:27 AM","UTM Battery Voltage"
"Level","Oreganos Chandler 675lbs Oreganos Canola Oil Tank","Oreganos Chandler","Level","126037638","A","Canola Oil","5/6/2026 9:00:27 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Oreganos Elliot 700LB Canola Oil Tank","Oreganos Elliot","BatteryVoltage","126037270","BATT_VOLTAGE","","5/5/2026 9:00:35 PM","UTM Battery Voltage"
"Level","Oreganos Elliot 700LB Canola Oil Tank","Oreganos Elliot","Level","126037270","A","Canola Oil","5/5/2026 9:00:35 PM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Oreganos Goodyear 700lbs Canola Oil","Oreganos Goodyear","BatteryVoltage","126033722","BATT_VOLTAGE","","5/6/2026 9:00:28 AM","UTM Battery Voltage"
"Level","Oreganos Goodyear 700lbs Canola Oil","Oreganos Goodyear","Level","126033722","A","Canola Oil","5/6/2026 9:00:28 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Oreganos Mesa 700LB CANOLA","Oreganos Mesa","BatteryVoltage","126029206","BATT_VOLTAGE","","5/6/2026 9:00:25 AM","UTM Battery Voltage"
"Level","Oreganos Mesa 700LB CANOLA","Oreganos Mesa","Level","126029206","A","Canola Oil","5/6/2026 9:00:25 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Oreganos Mesa/signal Butte 675lb Canola Oil Tank ","Oreganos Mesa/signal Butte","BatteryVoltage","126038550","BATT_VOLTAGE","","5/5/2026 9:00:27 PM","UTM Battery Voltage"
"Level","Oreganos Mesa/signal Butte 675lb Canola Oil Tank ","Oreganos Mesa/signal Butte","Level","126038550","A","Canola Oil","5/5/2026 9:00:27 PM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Oregano's paradise valley 675lbs Canola Oil ","Oregano's paradise valley","BatteryVoltage","150264512","BATT_VOLTAGE","","5/6/2026 3:00:29 AM","UTM Battery Voltage"
"Level","Oregano's paradise valley 675lbs Canola Oil ","Oregano's paradise valley","Level","150264512","A","Canola Oil","5/6/2026 3:00:29 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Oregano's Pima Oregano's PIMA 675LBS   canola","Oregano's Pima","BatteryVoltage","126031810","BATT_VOLTAGE","","5/5/2026 9:00:26 PM","UTM Battery Voltage"
"Level","Oregano's Pima Oregano's PIMA 675LBS   canola","Oregano's Pima","Level","126031810","A","Canola Oil","5/5/2026 9:00:26 PM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Oreganos scottsdale 700lbs Canola Oil Tank","Oreganos scottsdale","BatteryVoltage","E6002E53","BATT_VOLTAGE","","5/6/2026 4:00:00 AM","400 Series Battery Voltage"
"Level","Oreganos scottsdale 700lbs Canola Oil Tank","Oreganos scottsdale","Level","E6002E53","1","Canola Oil","5/6/2026 4:00:00 AM","ICON PVC 5v - SENS-3660-10 (394)"
"Battery","OREGANO'S SURPRISE  500 Lbs Canola Oil Tank","OREGANO'S SURPRISE ","BatteryVoltage","126031483","BATT_VOLTAGE","","5/5/2026 9:00:26 PM","UTM Battery Voltage"
"Level","OREGANO'S SURPRISE  500 Lbs Canola Oil Tank","OREGANO'S SURPRISE ","Level","126031483","A","Canola Oil","5/5/2026 9:00:26 PM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Pauma casino 4200 lbs tanks","Pauma casino","BatteryVoltage","125676951","BATT_VOLTAGE","","5/6/2026 4:00:33 AM","UTM Battery Voltage"
"Level 1","Pauma casino 4200 lbs tanks","Pauma casino","Level","125676951","A","Canola Oil","5/6/2026 4:00:33 AM","SC462C050 - Liquid Level Pressure Sensor, 0.5 bar with 5 meter cable"
"Battery","Pinyon 1050lbs Palm Oil Tank","Pinyon","BatteryVoltage","124921199","BATT_VOLTAGE","","5/6/2026 4:00:41 AM","UTM Battery Voltage"
"Level.","Pinyon 1050lbs Palm Oil Tank","Pinyon","Level","124921199","A","Palm Oil","5/6/2026 4:00:41 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Popo's Bell road 2000Lbs Canola Oil Tank","Popo's Bell road","BatteryVoltage","124733815","BATT_VOLTAGE","","5/6/2026 4:00:45 AM","UTM Battery Voltage"
"Level","Popo's Bell road 2000Lbs Canola Oil Tank","Popo's Bell road","Level","124733815","A","Canola Oil","5/6/2026 4:00:45 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Popo's Goodyear 1950Lbs Canola Oil ","Popo's Goodyear","BatteryVoltage","124921557","BATT_VOLTAGE","","5/6/2026 2:00:26 AM","UTM Battery Voltage"
"Level","Popo's Goodyear 1950Lbs Canola Oil ","Popo's Goodyear","Level","124921557","A","Canola Oil","5/6/2026 2:00:26 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Rancho Bar 7 2000LBS Canola Oil Tank","Rancho Bar 7","BatteryVoltage","124732948","BATT_VOLTAGE","","5/6/2026 4:00:31 AM","UTM Battery Voltage"
"Level","Rancho Bar 7 2000LBS Canola Oil Tank","Rancho Bar 7","Level","124732948","A","Canola Oil","5/6/2026 4:00:31 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","RED ZONE SPORTS GRILL 1150lbs Fryers Choice V Tank 1","RED ZONE SPORTS GRILL","BatteryVoltage","E600373C","BATT_VOLTAGE","","5/6/2026 4:00:00 AM","400 Series Battery Voltage"
"Level","RED ZONE SPORTS GRILL 1150lbs Fryers Choice V Tank 1","RED ZONE SPORTS GRILL","Level","E600373C","1","Fryers Choice","5/6/2026 4:00:00 AM","ICON PVC 5v - SENS-3660-10 (394)"
"Battery","Roadrunner Restaurant 2000LBS T Canola Oil Tank","Roadrunner Restaurant","BatteryVoltage","120066436","BATT_VOLTAGE","","5/6/2026 10:39:43 AM","UTM Battery Voltage"
"Level","Roadrunner Restaurant 2000LBS T Canola Oil Tank","Roadrunner Restaurant","Level","120066436","A","Canola Oil","5/6/2026 10:30:00 AM","Radar Level Sensor Range"
"Battery","Rusty Buckle 1150LBS Canola Oil Tank","Rusty Buckle","BatteryVoltage","124922608","BATT_VOLTAGE","","5/6/2026 2:00:47 AM","UTM Battery Voltage"
"Level","Rusty Buckle 1150LBS Canola Oil Tank","Rusty Buckle","Level","124922608","A","Canola Oil","5/6/2026 2:00:47 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
